[0, 26, 58, 40, 39, 68, 56, 57, 69, 88, 60, 76, 42, 50, 69, 37]
[26, 0, 63, 49, 57, 86, 81, 77, 87, 113, 62, 97, 65, 70, 86, 62]
[58, 63, 0, 17, 33, 43, 95, 44, 44, 92, 7, 58, 89, 40, 39, 83]
[40, 49, 17, 0, 20, 42, 79, 38, 43, 84, 21, 55, 72, 31, 40, 66]
[39, 57, 33, 20, 0, 29, 62, 20, 30, 64, 40, 39, 58, 13, 30, 52]
[68, 86, 43, 42, 29, 0, 74, 12, 1, 51, 51, 14, 77, 18, 6, 72]
[56, 81, 95, 79, 62, 74, 0, 62, 74, 55, 101, 71, 18, 60, 79, 20]
[57, 77, 44, 38, 20, 12, 62, 0, 13, 47, 52, 19, 64, 7, 16, 59]
[69, 87, 44, 43, 30, 1, 74, 13, 0, 51, 51, 14, 78, 19, 6, 73]
[88, 113, 92, 84, 64, 51, 55, 47, 51, 0, 99, 38, 69, 52, 57, 67]
[60, 62, 7, 21, 40, 51, 101, 52, 51, 99, 0, 65, 94, 47, 46, 88]
[76, 97, 58, 55, 39, 14, 71, 19, 14, 38, 65, 0, 77, 26, 19, 73]
[42, 65, 89, 72, 58, 77, 18, 64, 78, 69, 94, 77, 0, 61, 81, 5]
[50, 70, 40, 31, 13, 18, 60, 7, 19, 52, 47, 26, 61, 0, 21, 55]
[69, 86, 39, 40, 30, 6, 79, 16, 6, 57, 46, 19, 81, 21, 0, 76]
[37, 62, 83, 66, 52, 72, 20, 59, 73, 67, 88, 73, 5, 55, 76, 0]
